,features,prediction
652,"[34.45000076293945,20.649999618530273]",2
653,"[34.400001525878906,21.25]",2
654,"[35.0,21.049999237060547]",2
655,"[35.75,21.299999237060547]",2
656,"[35.04999923706055,21.5]",2
657,"[34.599998474121094,22.049999237060547]",2
658,"[34.20000076293945,21.75]",2
659,"[36.25,21.950000762939453]",2
660,"[35.70000076293945,22.299999237060547]",2
661,"[35.5,22.899999618530273]",2
662,"[35.849998474121094,23.25]",2
663,"[36.29999923706055,23.799999237060547]",2
664,"[35.45000076293945,24.100000381469727]",2
665,"[34.900001525878906,23.5]",2
666,"[34.20000076293945,22.899999618530273]",2
667,"[33.849998474121094,23.299999237060547]",2
668,"[33.25,23.350000381469727]",2
669,"[32.45000076293945,23.700000762939453]",2
670,"[33.599998474121094,23.899999618530273]",2
671,"[34.25,23.950000762939453]",2
672,"[34.25,24.100000381469727]",2
673,"[35.400001525878906,24.700000762939453]",2
674,"[35.150001525878906,25.299999237060547]",2
675,"[34.400001525878906,24.899999618530273]",2
676,"[33.70000076293945,24.850000381469727]",2
677,"[32.25,24.450000762939453]",2
678,"[32.5,24.700000762939453]",2
679,"[31.450000762939453,24.450000762939453]",2
680,"[31.549999237060547,25.200000762939453]",2
681,"[31.049999237060547,25.0]",2
682,"[30.25,24.299999237060547]",2
683,"[29.799999237060547,24.799999237060547]",2
684,"[29.600000381469727,25.5]",2
685,"[29.700000762939453,26.049999237060547]",2
686,"[30.5,25.5]",2
687,"[30.649999618530273,26.0]",2
688,"[31.25,26.049999237060547]",2
689,"[31.450000762939453,26.950000762939453]",2
690,"[30.75,26.899999618530273]",2
691,"[30.649999618530273,27.149999618530273]",2
692,"[31.25,27.850000381469727]",2
693,"[31.850000381469727,27.75]",2
694,"[32.70000076293945,28.200000762939453]",2
695,"[33.25,27.549999237060547]",2
696,"[32.400001525878906,27.100000381469727]",2
697,"[32.150001525878906,26.649999618530273]",2
698,"[32.349998474121094,25.950000762939453]",2
699,"[32.95000076293945,25.5]",2
700,"[33.849998474121094,26.049999237060547]",2
701,"[33.04999923706055,26.5]",2
702,"[33.650001525878906,27.0]",2
703,"[34.099998474121094,27.350000381469727]",2
704,"[34.20000076293945,27.950000762939453]",2
705,"[34.650001525878906,26.850000381469727]",2
706,"[35.25,26.0]",2
707,"[35.70000076293945,26.149999618530273]",2
708,"[34.400001525878906,25.600000381469727]",2
709,"[21.299999237060547,20.799999237060547]",1
710,"[20.149999618530273,20.899999618530273]",1
711,"[19.200000762939453,21.350000381469727]",1
712,"[19.100000381469727,21.850000381469727]",1
713,"[18.450000762939453,22.799999237060547]",1
714,"[18.75,22.950000762939453]",1
715,"[19.399999618530273,23.0]",1
716,"[19.549999237060547,22.25]",1
717,"[19.799999237060547,21.850000381469727]",1
718,"[20.5,21.850000381469727]",1
719,"[21.450000762939453,21.450000762939453]",1
720,"[21.700000762939453,21.899999618530273]",1
721,"[21.399999618530273,22.299999237060547]",1
722,"[21.0,22.600000381469727]",1
723,"[21.149999618530273,22.950000762939453]",1
724,"[20.5,22.850000381469727]",1
725,"[19.75,23.649999618530273]",1
726,"[19.200000762939453,23.700000762939453]",1
727,"[18.450000762939453,24.350000381469727]",1
728,"[20.649999618530273,23.850000381469727]",1
729,"[20.649999618530273,24.299999237060547]",1
730,"[19.700000762939453,24.600000381469727]",1
731,"[20.149999618530273,25.049999237060547]",1
732,"[22.149999618530273,25.100000381469727]",1
733,"[21.600000381469727,24.649999618530273]",1
734,"[21.700000762939453,23.799999237060547]",1
735,"[21.899999618530273,23.649999618530273]",1
736,"[22.549999237060547,23.5]",1
737,"[22.549999237060547,24.299999237060547]",1
738,"[23.299999237060547,24.450000762939453]",2
739,"[24.25,24.350000381469727]",2
740,"[23.799999237060547,25.25]",2
741,"[23.399999618530273,23.799999237060547]",2
742,"[22.899999618530273,23.200000762939453]",2
743,"[22.299999237060547,22.799999237060547]",1
744,"[22.200000762939453,22.399999618530273]",1
745,"[23.100000381469727,21.700000762939453]",2
746,"[22.850000381469727,21.899999618530273]",2
747,"[22.649999618530273,21.100000381469727]",2
748,"[23.149999618530273,22.600000381469727]",2
749,"[24.100000381469727,21.899999618530273]",2
750,"[24.700000762939453,22.200000762939453]",2
751,"[24.299999237060547,22.600000381469727]",2
752,"[24.149999618530273,23.299999237060547]",2
753,"[23.899999618530273,23.450000762939453]",2
754,"[5.199999809265137,2.1500000953674316]",0
755,"[6.349999904632568,1.9500000476837158]",0
756,"[6.75,2.299999952316284]",0
757,"[5.900000095367432,2.4000000953674316]",0
758,"[5.400000095367432,2.700000047683716]",0
759,"[4.849999904632568,2.9000000953674316]",0
760,"[4.849999904632568,3.3499999046325684]",0
761,"[5.150000095367432,3.450000047683716]",0
762,"[5.699999809265137,3.450000047683716]",0
763,"[6.199999809265137,3.0]",0
764,"[6.199999809265137,3.200000047683716]",0
765,"[7.650000095367432,2.1500000953674316]",0
766,"[7.199999809265137,2.75]",0
767,"[6.75,3.200000047683716]",0
768,"[6.75,3.549999952316284]",0
769,"[6.650000095367432,3.799999952316284]",0
770,"[5.800000190734863,4.0]",0
771,"[4.949999809265137,4.050000190734863]",0
772,"[5.099999904632568,4.349999904632568]",0
773,"[5.699999809265137,4.449999809265137]",0
774,"[5.449999809265137,4.849999904632568]",0
775,"[6.699999809265137,4.800000190734863]",0
776,"[6.550000190734863,5.050000190734863]",0
777,"[7.199999809265137,4.900000095367432]",0
778,"[6.199999809265137,4.25]",0
779,"[7.099999904632568,4.300000190734863]",0
780,"[7.849999904632568,4.5]",0
781,"[7.599999904632568,4.150000095367432]",0
782,"[7.25,3.549999952316284]",0
783,"[7.800000190734863,3.3499999046325684]",0
784,"[8.050000190734863,2.75]",0
785,"[8.5,3.25]",0
786,"[8.100000381469727,3.549999952316284]",0
787,"[8.149999618530273,4.0]",0
